,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
32,2007-06-02,81,66,74,10,62,67,0,9,419,1920,"{'BR', 'RA'}",0.02,29.06,29.76,7.0,21,7.8
33,2007-06-03,77,63,70,6,60,63,0,5,418,1921,"{'VC', 'HZ', 'RA', 'BR', 'TS'}",0.16,28.84,29.55,5.05,24,6.95
34,2007-06-04,71,57,64,0,57,60,0,0,418,1922,"{'RA', 'BR', 'TS'}",0.35,28.85,29.52,7.85,30,9.9
35,2007-06-05,63,49,56,-8,47,51,8,0,417,1923,"{'BR', 'RA'}",0.34,29.13,29.78,5.7,4,7.85
36,2007-06-06,72,46,59,-6,47,55,5,0,417,1923,{'RA'},0.01,29.1,29.82,10.2,16,11.0
37,2007-06-07,91,71,81,15,61,68,0,16,417,1924,set(),0.0,28.88,29.55,21.5,19,21.9
38,2007-06-08,81,60,70,4,53,61,0,5,417,1925,set(),0.0,29.21,29.84,10.1,27,13.1
39,2007-06-09,79,54,67,1,48,57,0,2,416,1925,set(),0.0,29.39,30.06,1.35,26,4.85
40,2007-06-10,81,58,69,2,50,59,0,4,416,1926,set(),0.0,29.36,30.04,4.7,16,5.7
41,2007-06-11,85,61,73,6,51,61,0,8,416,1926,set(),0.0,29.44,30.1,5.75,10,7.65
42,2007-06-12,82,64,73,5,50,60,0,8,416,1927,set(),0.0,29.46,30.15,8.85,5,9.4
43,2007-06-13,86,64,75,7,53,62,0,10,416,1927,set(),0.0,29.39,30.08,7.1,5,8.6
44,2007-06-14,89,66,78,10,54,63,0,13,416,1928,set(),0.0,29.33,30.01,5.75,6,6.6
45,2007-06-15,90,65,77,9,56,64,0,12,416,1928,set(),0.0,29.31,29.98,3.95,7,4.5
46,2007-06-16,92,67,80,11,60,67,0,15,416,1929,"{'RA', 'HZ'}",0.01,29.3,29.96,3.45,25,5.95
47,2007-06-17,91,70,81,12,64,70,0,16,416,1929,{'HZ'},0.08,29.26,29.94,3.4,11,6.2
48,2007-06-18,89,71,80,10,65,70,0,15,416,1929,"{'RA', 'TS', 'HZ'}",0.15,29.16,29.84,13.1,20,13.85
49,2007-06-19,80,65,73,3,55,63,0,8,416,1930,"{'BR', 'RA'}",0.76,29.28,29.94,10.4,28,11.35
50,2007-06-20,84,61,73,3,51,61,0,8,416,1930,set(),0.0,29.42,30.1,6.85,27,8.25
51,2007-06-21,78,63,71,1,51,60,0,6,416,1930,{'RA'},0.01,29.38,30.07,3.6,2,10.15
52,2007-06-22,75,61,69,-1,49,58,0,4,417,1931,{'RA'},0.01,29.36,30.06,7.15,6,8.4
53,2007-06-23,67,61,65,-5,59,61,0,0,417,1931,"{'BR', 'RA'}",0.2,29.26,29.96,7.45,11,8.55
54,2007-06-24,76,64,70,-1,62,65,0,5,417,1931,"{'BR', 'HZ'}",0.0,29.3,29.96,6.3,9,7.0
55,2007-06-25,87,66,77,6,66,70,0,12,417,1931,"{'BR', 'HZ'}",0.0,29.41,30.06,3.95,13,6.35
56,2007-06-26,91,71,81,10,69,72,0,16,418,1931,"{'RA', 'TS', 'VC', 'BR', 'HZ'}",0.08,29.42,30.1,6.7,21,7.6
57,2007-06-27,90,71,80,9,69,72,0,15,418,1931,"{'RA', 'BR', 'TS'}",0.25,29.32,30.01,7.7,24,8.65
58,2007-06-28,73,59,66,-4,55,60,0,1,419,1931,set(),0.0,29.42,30.08,12.05,2,12.9
59,2007-06-29,70,56,63,-7,55,59,1,0,419,1931,set(),0.0,29.44,30.12,7.5,2,8.25
60,2007-06-30,78,56,67,-4,47,57,0,2,419,1931,set(),0.0,29.44,30.12,5.0,3,6.0
61,2007-07-01,75,57,67,-5,51,58,0,2,420,1931,set(),0.0,29.54,30.22,9.05,4,9.15
62,2007-07-02,78,55,67,-5,50,58,0,2,420,1931,set(),0.0,29.52,30.22,6.65,13,8.3
63,2007-07-03,83,61,72,0,56,63,0,7,421,1931,"{'RA', 'BR', 'TS'}",0.24,29.34,30.06,6.55,21,7.35
64,2007-07-04,85,67,76,4,65,69,0,11,422,1930,"{'HZ', 'FU', 'RA', 'BR', 'TS'}",0.41,29.2,29.89,3.85,26,8.5
65,2007-07-05,88,70,79,7,60,67,0,14,422,1930,"{'BR', 'HZ', 'FU'}",0.0,29.26,29.93,5.35,32,7.5
66,2007-07-06,85,67,76,4,57,64,0,11,423,1930,set(),0.0,29.35,30.02,3.25,6,5.5
67,2007-07-07,89,66,77,5,62,68,0,12,423,1930,set(),0.0,29.21,29.9,7.9,22,8.35
68,2007-07-08,93,75,84,11,67,72,0,19,424,1929,set(),0.0,29.08,29.76,12.75,23,12.9
69,2007-07-09,93,71,82,9,66,70,0,17,425,1929,"{'VC', 'TS', 'RA'}",0.27,29.14,29.8,4.85,23,8.8
70,2007-07-10,89,69,79,6,67,70,0,14,425,1929,"{'RA', 'VC', 'TS', 'HZ'}",0.26,29.1,29.76,8.4,23,10.35
71,2007-07-11,77,62,70,-3,51,59,0,5,426,1928,set(),0.0,29.26,29.92,8.95,30,11.05
72,2007-07-12,80,60,70,-2,51,59,0,5,427,1928,"{'VC', 'TS'}",0.0,29.25,29.92,9.7,28,11.25
73,2007-07-13,76,58,67,-5,52,58,0,2,428,1927,set(),0.0,29.3,29.98,1.7,4,5.55
74,2007-07-14,84,61,73,0,55,62,0,8,428,1927,set(),0.0,29.11,29.79,8.35,25,13.55
75,2007-07-15,81,62,71,-2,52,61,0,6,429,1926,set(),0.0,29.22,29.88,1.65,19,5.7
76,2007-07-16,82,65,74,0,60,65,0,9,430,1925,"{'BR', 'TS', 'RA'}",0.23,29.28,29.95,5.0,23,5.9
77,2007-07-17,83,68,76,2,65,69,0,11,431,1925,"{'RA', 'VC', 'BR', 'TS'}",0.11,29.21,29.9,5.75,23,6.95
78,2007-07-18,85,69,77,3,68,71,0,12,432,1924,"{'VC', 'HZ', 'RA', 'BR', 'TS'}",1.24,29.14,29.84,9.7,24,10.35
79,2007-07-19,82,63,73,-1,62,66,0,8,433,1923,"{'BR', 'HZ', 'DZ'}",0.08,29.24,29.89,7.35,18,13.15
80,2007-07-20,74,60,67,-6,52,59,0,2,433,1923,set(),0.0,29.46,30.13,9.95,3,10.3
81,2007-07-21,74,58,66,-7,52,58,0,1,434,1922,set(),0.0,29.54,30.22,6.15,3,7.4
82,2007-07-22,81,59,70,-3,54,61,0,5,435,1921,set(),0.0,29.52,30.2,1.8,17,3.4
83,2007-07-23,82,61,72,-1,55,63,0,7,436,1920,set(),0.0,29.4,30.1,3.05,10,3.95
84,2007-07-24,82,65,74,0,57,64,0,9,437,1919,set(),0.0,29.35,30.04,2.1,20,5.05
85,2007-07-25,84,70,77,3,60,66,0,12,438,1918,set(),0.0,29.32,29.99,6.1,24,6.8
86,2007-07-26,83,65,74,0,65,68,0,9,439,1918,"{'HZ', 'RA', 'BR', 'TS'}",0.54,29.22,29.92,7.2,22,9.65
87,2007-07-27,83,70,77,3,67,70,0,12,440,1917,"{'RA', 'BR', 'HZ'}",0.11,29.14,29.81,2.1,19,8.0
88,2007-07-28,80,68,74,0,65,68,0,9,441,1916,"{'BR', 'HZ'}",0.0,29.26,29.92,10.3,3,10.45
89,2007-07-29,85,65,75,1,56,64,0,10,442,1915,set(),0.0,29.31,29.98,5.55,5,6.3
90,2007-07-30,87,63,76,2,56,64,0,11,443,1914,set(),0.0,29.36,30.02,3.45,6,4.45
91,2007-07-31,90,68,79,5,60,68,0,14,444,1913,set(),0.0,29.36,30.03,3.65,5,4.95
92,2007-08-01,91,69,80,7,62,69,0,15,445,1911,{'HZ'},0.0,29.32,29.99,2.8,11,3.9
93,2007-08-02,91,71,81,8,66,71,0,16,446,1910,{'HZ'},0.0,29.28,29.96,6.0,24,6.55
94,2007-08-03,89,71,80,7,57,66,0,15,447,1909,set(),0.0,29.34,30.01,3.0,4,5.75
95,2007-08-04,81,66,74,1,58,64,0,9,448,1908,{'RA'},0.02,29.34,30.02,5.8,8,6.35
96,2007-08-05,88,67,78,5,71,72,0,13,449,1907,"{'VC', 'HZ', 'RA', 'BR', 'TS'}",1.2,29.12,29.8,6.2,21,9.9
97,2007-08-06,86,74,80,7,72,74,0,15,450,1906,"{'HZ', 'RA', 'BR', 'TS'}",0.16,29.15,29.82,2.1,10,4.75
98,2007-08-07,91,72,82,9,73,76,0,17,451,1904,"{'BR', 'TS', 'RA', 'VC'}",0.68,29.08,29.75,6.25,24,8.9
99,2007-08-08,87,73,80,7,71,73,0,15,452,1903,"{'HZ', 'RA', 'DZ', 'BR', 'TS'}",0.08,29.16,29.82,2.25,3,6.65
100,2007-08-09,84,72,78,5,71,73,0,13,453,1902,"{'RA', 'BR', 'TS', 'HZ'}",0.26,29.16,29.83,2.8,28,6.15
101,2007-08-10,86,71,79,6,68,72,0,14,454,1900,{'BR'},0.0,29.29,29.95,3.75,4,5.65
102,2007-08-11,88,67,78,5,65,70,0,13,455,1859,"{'BR', 'HZ'}",0.0,29.34,30.01,3.15,19,3.9
103,2007-08-12,87,67,78,5,67,70,0,13,456,1858,"{'TS', 'RA'}",0.26,29.37,30.05,1.8,6,6.0
104,2007-08-13,80,67,74,1,55,63,0,9,457,1856,{'BR'},0.0,29.42,30.1,6.55,7,7.3
105,2007-08-14,84,65,75,3,66,69,0,10,458,1855,"{'RA', 'BR', 'TS'}",0.43,29.26,29.92,6.15,24,8.5
106,2007-08-15,80,71,76,4,68,70,0,11,459,1854,"{'RA', 'BR', 'TS'}",0.53,29.2,29.88,4.15,6,6.45
107,2007-08-16,77,66,71,0,64,67,0,6,500,1852,{'BR'},0.0,29.3,29.96,3.55,1,5.7
108,2007-08-17,79,62,71,0,54,61,0,6,501,1851,set(),0.0,29.44,30.09,6.0,31,7.1
109,2007-08-18,68,59,64,-7,54,58,0,0,502,1849,{'RA'},0.26,29.46,30.16,6.25,12,7.55
110,2007-08-19,68,62,65,-5,62,64,0,0,503,1848,"{'RA', 'BR', 'TS'}",1.33,29.27,29.98,5.75,10,7.45
111,2007-08-20,77,68,72,1,68,69,0,7,504,1846,"{'RA', 'BR', 'TS', 'HZ'}",0.7,29.18,29.86,1.45,16,5.8
112,2007-08-21,86,69,77,6,70,72,0,12,505,1845,"{'BR', 'HZ'}",0.01,29.24,29.9,3.65,17,6.0
113,2007-08-22,90,69,80,9,70,73,0,15,506,1843,"{'RA', 'BR', 'TS'}",0.62,29.26,29.94,5.2,21,8.95
114,2007-08-23,88,69,79,8,69,71,0,14,508,1842,"{'BR', 'RA', 'VC', 'TS'}",2.16,29.18,29.86,8.15,21,10.4
115,2007-08-24,80,69,75,4,67,69,0,10,509,1840,"{'RA', 'BR', 'TS'}",0.22,29.14,29.82,5.65,25,7.2
116,2007-08-25,77,64,71,1,63,66,0,6,510,1839,"{'BR', 'RA'}",0.3,29.26,29.92,2.7,19,6.0
117,2007-08-26,78,60,70,0,55,61,0,5,511,1837,set(),0.0,29.41,30.08,3.65,11,5.0
118,2007-08-27,79,61,70,0,59,64,0,5,512,1835,set(),0.0,29.38,30.06,6.45,16,7.35
119,2007-08-28,90,68,79,9,65,70,0,14,513,1834,set(),0.0,29.31,29.98,8.4,20,8.9
120,2007-08-29,85,68,77,7,64,69,0,12,514,1832,set(),0.01,29.36,30.03,5.45,3,8.5
121,2007-08-30,75,58,67,-3,54,60,0,2,515,1831,set(),0.0,29.49,30.16,9.95,2,10.4
122,2007-08-31,76,57,67,-2,53,59,0,2,516,1829,set(),0.0,29.49,30.18,3.45,5,4.9
123,2007-09-01,80,58,69,1,55,61,0,4,517,1827,set(),0.0,29.52,30.21,4.3,11,4.7
124,2007-09-02,84,61,73,5,56,63,0,8,518,1826,set(),0.0,29.44,30.14,4.5,21,5.5
125,2007-09-03,88,65,76,8,61,67,0,11,519,1824,set(),0.0,29.39,30.08,2.5,26,6.0
126,2007-09-04,89,65,77,9,59,66,0,12,520,1822,set(),0.0,29.31,29.99,2.5,23,4.65
127,2007-09-05,90,69,80,13,62,69,0,15,521,1821,{'RA'},0.0,29.28,29.95,6.4,19,6.6
128,2007-09-06,83,73,78,11,66,70,0,13,522,1819,"{'RA', 'TS', 'HZ'}",0.13,29.24,29.92,12.35,20,12.55
129,2007-09-07,84,70,77,10,67,70,0,12,523,1817,"{'HZ', 'RA', 'BR', 'TS'}",0.43,29.18,29.84,9.95,23,13.45
130,2007-09-08,78,66,72,6,57,63,0,7,524,1815,set(),0.0,29.32,29.99,7.2,5,8.3
131,2007-09-09,79,63,71,5,59,63,0,6,525,1814,set(),0.0,29.38,30.04,9.65,3,10.4
132,2007-09-10,73,54,64,-2,58,61,1,0,526,1812,"{'BR', 'RA'}",0.3,29.32,30.02,7.3,2,9.35
133,2007-09-11,71,50,61,-4,44,52,4,0,527,1810,set(),0.01,29.23,29.92,11.9,29,13.6
134,2007-09-12,66,46,56,-8,42,49,8,0,528,1809,set(),0.0,29.43,30.12,1.85,4,5.8
135,2007-09-13,78,51,65,0,44,54,0,0,529,1807,set(),0.0,29.26,29.98,7.7,19,8.1
136,2007-09-14,66,46,56,-7,39,48,8,0,530,1805,set(),0.0,29.38,30.04,11.9,32,13.2
137,2007-09-15,61,40,51,-13,34,44,14,0,531,1803,set(),0.0,29.59,30.28,1.25,34,6.25
138,2007-09-16,71,46,59,-4,39,49,5,0,532,1760,set(),0.0,29.49,30.2,7.25,18,7.8
139,2007-09-17,80,53,67,3,48,57,0,2,533,1758,set(),0.0,29.42,30.12,11.15,17,11.55
140,2007-09-18,88,64,77,13,57,65,0,12,535,1756,set(),0.0,29.38,30.06,12.7,19,12.95
141,2007-09-19,84,66,75,12,59,65,0,10,536,1755,set(),0.0,29.44,30.1,4.25,25,9.35
142,2007-09-20,77,61,69,7,59,63,0,4,537,1753,set(),0.0,29.42,30.11,5.45,7,6.35
143,2007-09-21,89,66,77,15,59,66,0,12,538,1751,{'HZ'},0.0,29.2,29.9,10.05,21,11.95
144,2007-09-22,73,54,64,2,44,54,1,0,539,1749,set(),0.0,29.45,30.11,3.45,2,7.25
145,2007-09-23,83,52,68,7,50,58,0,3,540,1748,set(),0.0,29.46,30.16,5.25,12,5.85
146,2007-09-24,90,69,80,19,62,68,0,15,541,1746,set(),0.0,29.3,29.98,10.7,19,11.2
147,2007-09-25,84,65,74,13,65,69,0,9,542,1744,"{'TS', 'RA'}",0.14,29.26,29.94,7.6,23,9.95
148,2007-09-26,68,54,61,1,50,55,3,0,543,1742,"{'BR', 'RA'}",0.12,29.34,30.02,4.55,1,6.95
149,2007-09-27,74,50,62,2,49,55,2,0,544,1741,"{'RA', 'BR', 'BC', 'FG'}",0.01,29.28,29.97,4.7,24,6.15
150,2007-09-28,73,53,63,4,46,53,2,0,545,1739,set(),0.0,29.49,30.16,2.7,5,6.85
151,2007-09-29,81,51,66,7,45,55,0,1,546,1737,set(),0.0,29.54,30.23,8.95,17,9.3
152,2007-09-30,83,60,72,13,48,59,0,7,547,1735,"{'RA', 'BR', 'TS'}",0.14,29.4,30.1,13.65,19,13.9
153,2007-10-01,68,59,64,6,59,61,1,0,548,1734,"{'RA', 'DZ', 'FG', 'BR', 'BC', 'FG+'}",0.23,29.32,30.0,7.0,21,8.5
154,2007-10-02,79,58,69,11,59,63,0,4,549,1732,"{'RA', 'MI', 'FG', 'BR', 'FG+'}",0.1,29.22,29.92,10.4,19,10.7
155,2007-10-03,74,55,65,8,47,56,0,0,550,1730,set(),0.0,29.31,29.98,5.35,25,7.1
156,2007-10-04,82,53,68,11,56,61,0,3,552,1729,{'HZ'},0.0,29.36,30.04,4.25,17,5.25
157,2007-10-05,84,65,75,18,65,68,0,10,553,1727,"{'BR', 'RA', 'HZ'}",0.03,29.39,30.07,6.9,17,7.0
158,2007-10-06,87,70,79,23,66,70,0,14,554,1725,set(),0.0,29.36,30.04,6.65,20,7.05
159,2007-10-07,87,68,78,22,65,70,0,13,555,1724,set(),0.0,29.34,30.02,5.25,19,5.9
160,2007-10-08,87,61,74,18,60,66,0,9,556,1722,set(),0.0,29.26,29.92,7.5,24,10.0
161,2007-10-09,76,49,63,8,44,53,1,0,557,1720,set(),0.0,29.24,29.94,11.8,28,13.05
162,2007-10-10,53,47,50,-4,37,44,14,0,558,1719,"{'RA', 'DZ'}",0.01,29.24,29.93,14.75,31,15.05
163,2007-10-11,55,47,51,-3,39,45,14,0,559,1717,set(),0.0,29.31,30.01,13.25,36,14.2
164,2007-10-12,56,43,50,-4,35,43,15,0,600,1715,set(),0.0,29.31,30.02,3.1,35,5.0
165,2007-10-13,59,42,51,-2,40,47,14,0,602,1714,set(),0.0,29.34,30.04,3.15,20,4.1
166,2007-10-14,62,54,58,5,48,52,7,0,603,1712,{'RA'},0.08,29.37,30.06,5.65,11,6.3
167,2007-10-15,75,53,64,11,51,57,1,0,604,1711,"{'BR', 'RA'}",0.06,29.24,29.94,5.35,15,6.25
168,2007-10-16,67,54,61,9,54,57,4,0,605,1709,"{'RA', 'DZ', 'BR'}",0.22,29.2,29.88,6.45,21,7.4
169,2007-10-17,73,48,61,9,53,57,4,0,606,1707,"{'RA', 'HZ'}",0.08,29.1,29.83,8.95,14,9.45
170,2007-10-18,78,59,69,18,56,61,0,4,607,1706,"{'RA', 'BR', 'TS'}",0.32,28.63,29.34,16.35,19,18.05
171,2007-10-19,60,52,56,5,48,52,8,0,608,1704,"{'BR', 'RA', 'DZ'}",0.01,28.78,29.44,16.95,24,17.35
172,2007-10-20,73,47,60,10,43,52,4,0,610,1703,set(),0.0,29.06,29.72,11.0,21,11.85
173,2007-10-21,79,60,70,20,46,56,0,5,611,1701,set(),0.0,29.12,29.78,17.35,20,17.5
174,2007-10-22,66,46,57,7,47,50,8,0,612,1660,"{'RA', 'DZ', 'BR'}",0.16,29.29,29.96,5.5,18,9.75
175,2007-10-23,55,44,50,1,37,44,14,0,613,1658,{'RA'},0.02,29.23,29.93,4.6,31,8.05
176,2007-10-24,54,44,49,0,35,42,16,0,614,1657,set(),0.0,29.48,30.16,14.65,2,15.9
177,2007-10-25,56,45,50,2,39,46,14,0,616,1656,{'RA'},0.01,29.49,30.2,14.2,6,14.4
178,2007-10-26,65,53,59,11,48,52,5,0,617,1654,"{'BR', 'RA'}",0.37,29.34,30.06,5.2,5,7.05
179,2007-10-27,56,38,47,-1,39,45,18,0,618,1653,"{'RA', 'BR', 'HZ'}",0.04,29.59,30.25,8.65,31,9.5
180,2007-10-28,56,34,45,-2,30,39,20,0,619,1651,set(),0.0,29.82,30.52,3.45,23,4.15
181,2007-10-29,60,39,50,3,32,42,15,0,620,1650,set(),0.0,29.66,30.4,9.65,22,9.85
182,2007-10-30,66,41,54,8,37,46,11,0,622,1649,set(),0.0,29.47,30.21,11.5,20,11.7
183,2007-10-31,62,42,52,6,37,46,12,0,623,1647,set(),0.0,29.33,30.02,12.2,25,14.65
184,2008-05-01,73,48,61,8,51,56,4,0,448,1849,set(),0.0,28.98,29.67,10.2,16,10.95
185,2008-05-02,74,53,64,10,55,59,1,0,447,1850,"{'RA', 'BR', 'TS'}",1.01,28.82,29.52,12.85,19,14.05
186,2008-05-03,56,43,50,-4,41,46,15,0,446,1851,"{'BR', 'RA'}",0.01,29.04,29.69,10.8,25,12.7
187,2008-05-04,65,38,52,-1,33,45,12,0,444,1852,set(),0.0,29.34,30.02,5.35,23,5.95
188,2008-05-05,74,50,62,7,38,50,2,0,443,1853,set(),0.0,29.3,29.99,4.05,24,6.6
189,2008-05-06,81,49,65,10,43,55,0,1,442,1855,set(),0.0,29.2,29.88,6.6,22,7.95
190,2008-05-07,70,49,60,5,52,56,4,0,441,1856,"{'BR', 'RA'}",0.74,29.0,29.69,2.7,22,11.7
191,2008-05-08,59,46,52,-3,35,44,12,0,439,1857,set(),0.0,29.11,29.82,13.25,5,13.8
192,2008-05-09,58,41,50,-6,34,43,15,0,438,1858,set(),0.0,29.17,29.85,6.4,3,6.95
193,2008-05-10,61,39,50,-5,38,45,14,0,437,1859,set(),0.0,29.12,29.84,5.95,7,6.45
194,2008-05-11,59,46,53,-4,43,47,12,0,436,1860,"{'BR', 'RA'}",1.2,28.87,29.54,14.4,2,17.75
195,2008-05-12,54,40,47,-9,38,43,17,0,435,1901,set(),0.0,29.29,29.96,5.0,6,7.7
196,2008-05-13,73,42,58,0,45,51,7,0,434,1902,"{'TS', 'RA'}",0.2,29.24,29.94,14.6,18,15.15
197,2008-05-14,62,45,54,-3,48,52,10,0,433,1903,"{'BR', 'RA', 'DZ'}",0.02,29.22,29.89,2.25,23,9.25
198,2008-05-15,57,43,50,-8,37,45,15,0,432,1904,set(),0.0,29.35,30.05,7.15,5,8.0
199,2008-05-16,72,40,57,-2,41,50,8,0,431,1905,set(),0.0,29.13,29.86,8.6,25,9.1
200,2008-05-17,73,51,62,3,41,52,2,0,430,1906,"{'BR', 'TS', 'RA'}",0.19,28.9,29.61,12.05,29,14.4
201,2008-05-18,55,44,50,-10,39,45,15,0,429,1907,set(),0.0,28.96,29.64,2.55,34,8.05
202,2008-05-19,59,41,50,-9,33,43,14,0,428,1908,{'RA'},0.01,28.99,29.69,4.15,7,5.95
203,2008-05-20,65,48,57,-4,37,47,8,0,427,1909,set(),0.0,28.97,29.66,7.1,30,8.45
204,2008-05-21,65,43,54,-6,36,46,10,0,426,1910,set(),0.0,29.02,29.7,7.0,32,9.0
205,2008-05-22,57,46,52,-9,38,45,13,0,425,1911,set(),0.0,29.26,29.94,9.65,5,10.5
206,2008-05-23,58,47,53,-8,39,45,12,0,425,1912,set(),0.0,29.44,30.12,10.55,3,10.8
207,2008-05-24,67,42,55,-7,39,48,10,0,424,1913,set(),0.0,29.48,30.18,7.15,7,7.9
208,2008-05-25,78,47,63,1,49,57,2,0,423,1914,"{'TS', 'RA'}",0.0,29.22,29.93,10.7,17,12.15
209,2008-05-26,82,50,66,4,60,64,0,2,422,1915,"{'RA', 'BR', 'TS', 'HZ'}",0.24,29.14,29.8,6.75,24,11.9
210,2008-05-27,51,43,47,-14,35,42,17,0,422,1916,{'RA'},0.0,29.52,30.18,18.6,2,18.35
211,2008-05-28,61,44,53,-10,33,43,12,0,421,1916,set(),0.0,29.63,30.34,8.0,6,8.6
212,2008-05-29,67,43,56,-8,37,47,9,0,421,1917,{'RA'},0.04,29.42,30.16,2.85,10,4.0
213,2008-05-30,77,56,67,3,59,62,0,2,420,1918,"{'RA', 'BR', 'TS'}",0.35,29.06,29.79,8.9,20,10.55
214,2008-05-31,79,59,69,5,56,62,0,4,420,1919,set(),0.0,29.12,29.8,10.95,28,12.1
215,2008-06-01,72,54,64,0,46,55,1,0,419,1920,set(),0.0,29.26,29.94,5.1,9,5.65
216,2008-06-02,85,58,72,8,52,60,0,7,419,1920,{'RA'},0.0,29.18,29.88,1.8,10,5.25
217,2008-06-03,71,56,64,0,56,58,1,0,418,1921,"{'RA', 'BR', 'TS', 'HZ', 'FG+', 'FG'}",0.72,28.99,29.68,6.25,3,7.95
218,2008-06-04,78,56,67,3,60,62,0,2,418,1922,"{'HZ', 'FG', 'RA', 'DZ', 'BR', 'TS', 'FG+'}",0.02,28.92,29.61,3.8,4,4.75
219,2008-06-05,87,64,76,11,68,71,0,11,417,1923,"{'RA', 'BR', 'TS'}",0.43,29.03,29.7,12.35,20,13.9
220,2008-06-06,86,73,80,14,68,72,0,15,417,1923,{'RA'},0.02,29.1,29.76,20.15,20,20.5
221,2008-06-07,84,70,77,11,71,73,0,12,417,1924,"{'RA', 'BR', 'TS'}",0.09,29.2,29.86,12.15,19,12.8
